province,confirmed,deaths,recovered,latitude,longitude,month
Anhui,237,0,3,32,117,Jan
Beijing,139,1,5,39.906217,116.3912757,Jan
Chongqing,211,0,1,29.5585712,106.5492822,Jan
Fujian,120,0,0,26.5450001,117.842778,Jan
Gansu,29,0,0,38.0000001,101.9999999,Jan
Guangdong,436,0,11,23.1357694,113.1982688,Jan
Guangxi,87,0,2,24,109,Jan
Guizhou,29,0,2,27,107,Jan
Hainan,52,1,1,19.2000001,109.5999999,Jan
Hebei,82,1,0,39.0000001,116,Jan
Heilongjiang,59,2,0,48.0000047,127.999992,Jan
Henan,352,2,3,34.0000001,113.9999999,Jan
Hubei,5806,204,141,31.15172525,112.8783222,Jan
Hunan,332,0,2,27.9995878,112.009538,Jan
Inner Mongolia,20,0,1,43.2443242,114.3251664,Jan
Jiangsu,168,0,5,33.0000001,119.9999999,Jan
Jiangxi,240,0,7,28,116,Jan
Jilin,14,0,1,42.9995032,125.9816054,Jan
Liaoning,48,0,1,40.9975197,122.9955469,Jan
Ningxia,21,0,0,37.0000001,105.9999999,Jan
Qinghai,8,0,0,35.40709525,95.95211573,Jan
Shaanxi,87,0,0,36,109,Jan
Shandong,184,0,2,36.0000001,118.9999999,Jan
Shanghai,135,1,9,31.2322758,121.4692071,Jan
Shanxi,39,0,1,37,112,Jan
Sichuan,177,1,1,30.5000001,102.4999999,Jan
Tianjin,32,0,0,39.1235635,117.1980785,Jan
Tibet,1,0,0,31.89434315,87.07813713,Jan
Xinjiang,17,0,0,41.7574769,87.16738423,Jan
Yunnan,83,0,1,25,102,Jan
Zhejiang,538,0,14,29.0000001,119.9999999,Jan
Anhui,990,6,868,32,117,Feb
Beijing,411,8,271,39.906217,116.3912757,Feb
Chongqing,576,6,438,29.5585712,106.5492822,Feb
Fujian,296,1,243,26.5450001,117.842778,Feb
Gansu,91,2,82,38.0000001,101.9999999,Feb
Guangdong,1349,7,983,23.1357694,113.1982688,Feb
Guangxi,252,2,176,24,109,Feb
Guizhou,146,2,112,27,107,Feb
Hainan,168,5,148,19.2000001,109.5999999,Feb
Hebei,318,6,282,39.0000001,116,Feb
Heilongjiang,480,13,301,48.0000047,127.999992,Feb
Henan,1272,21,1170,34.0000001,113.9999999,Feb
Hubei,66337,2727,28993,31.15172525,112.8783222,Feb
Hunan,1018,4,846,27.9995878,112.009538,Feb
Inner Mongolia,75,0,49,43.2443242,114.3251664,Feb
Jiangsu,631,0,523,33.0000001,119.9999999,Feb
Jiangxi,935,1,811,28,116,Feb
Jilin,93,1,75,42.9995032,125.9816054,Feb
Liaoning,121,1,96,40.9975197,122.9955469,Feb
Ningxia,73,0,69,37.0000001,105.9999999,Feb
Qinghai,18,0,18,35.40709525,95.95211573,Feb
Shaanxi,245,1,207,36,109,Feb
Shandong,756,6,421,36.0000001,118.9999999,Feb
Shanghai,337,3,287,31.2322758,121.4692071,Feb
Shanxi,133,0,114,37,112,Feb
Sichuan,538,3,351,30.5000001,102.4999999,Feb
Tianjin,136,3,109,39.1235635,117.1980785,Feb
Tibet,1,0,1,31.89434315,87.07813713,Feb
Xinjiang,76,3,62,41.7574769,87.16738423,Feb
Yunnan,174,2,157,25,102,Feb
Zhejiang,1205,1,1016,29.0000001,119.9999999,Feb
Anhui,990,6,984,32,117,Mar
Beijing,442,8,353,39.906217,116.3912757,Mar
Chongqing,576,6,570,29.5585712,106.5492822,Mar
Fujian,296,1,295,26.5450001,117.842778,Mar
Gansu,133,2,91,38.0000001,101.9999999,Mar
Guangdong,1360,8,1304,23.1357694,113.1982688,Mar
Guangxi,252,2,243,24,109,Mar
Guizhou,146,2,143,27,107,Mar
Hainan,168,6,160,19.2000001,109.5999999,Mar
Hebei,318,6,310,39.0000001,116,Mar
Heilongjiang,482,13,453,48.0000047,127.999992,Mar
Henan,1273,22,1250,34.0000001,113.9999999,Mar
Hubei,67794,3085,54288,31.15172525,112.8783222,Mar
Hunan,1018,4,1014,27.9995878,112.009538,Mar
Inner Mongolia,75,1,71,43.2443242,114.3251664,Mar
Jiangsu,631,0,631,33.0000001,119.9999999,Mar
Jiangxi,935,1,934,28,116,Mar
Jilin,93,1,91,42.9995032,125.9816054,Mar
Liaoning,125,1,114,40.9975197,122.9955469,Mar
Ningxia,75,0,73,37.0000001,105.9999999,Mar
Qinghai,18,0,18,35.40709525,95.95211573,Mar
Shaanxi,245,2,232,36,109,Mar
Shandong,760,7,741,36.0000001,118.9999999,Mar
Shanghai,353,3,324,31.2322758,121.4692071,Mar
Shanxi,133,0,133,37,112,Mar
Sichuan,539,3,516,30.5000001,102.4999999,Mar
Tianjin,136,3,133,39.1235635,117.1980785,Mar
Tibet,1,0,1,31.89434315,87.07813713,Mar
Xinjiang,76,3,73,41.7574769,87.16738423,Mar
Yunnan,174,2,172,25,102,Mar
Zhejiang,1231,1,1211,29.0000001,119.9999999,Mar
